구,법정동,단지명,전용면적(㎡),계약일자,층,거래금액,동,매수자,매도자,도로명,거래유형,등기일자,정책여부
송파구,오금동,송파더플래티넘,106.24,2026-02-27,2,168000,,개인,개인,성내천로 50,중개거래,,정책후
송파구,오금동,우창,109.72,2025-09-08,5,143000,,개인,개인,동남로24길 6,중개거래,,정책후
송파구,잠실동,우성4차,95.84,2025-06-12,10,217000,,개인,개인,백제고분로18길 30,중개거래,,정책전
송파구,장지동,송파파인타운7단지,84.94,2025-10-24,8,165000,,개인,개인,충민로4길 19,중개거래,,정책후
송파구,풍납동,현대리버빌2지구,59.4,2024-08-08,16,89500,,개인,개인,풍성로24길 42,중개거래,,정책전
양천구,목동,목동신시가지2,65.25,2024-08-09,8,172000,,개인,개인,목동서로 70,중개거래,,정책전
양천구,목동,청학,22.2,2025-06-17,10,28000,,개인,개인,목동동로12길 9,중개거래,,정책전
양천구,신월동,장수마을2단지동원데쟈뷰,84.01,2025-04-05,3,73800,,개인,개인,오목로 76-2,중개거래,,정책전
양천구,신정동,청구,84.95,2024-09-07,12,102000,,개인,개인,신목로2길 11,중개거래,,정책전
영등포구,당산동4가,브라운스톤당산,76.019,2024-12-05,18,108000,,개인,개인,영신로55길 8,중개거래,,정책전
용산구,원효로4가,산호,78.06,2025-10-24,3,224500,,개인,개인,원효로 66,중개거래,,정책후
용산구,한남동,한남더힐,59.686,2024-09-24,3,320000,,개인,개인,독서당로 111,중개거래,,정책전
은평구,녹번동,북한산푸르지오,84.99,2025-08-23,1,100000,,개인,개인,통일로 660,중개거래,,정책후
은평구,불광동,디앤제이하우징(281-89),24.96,2025-05-26,8,29000,,개인,법인,불광로 40-1,중개거래,,정책전
은평구,불광동,라이프미성,66.7,2024-08-02,4,66000,,개인,개인,통일로 780,중개거래,,정책전
은평구,불광동,라이프미성,66.7,2024-08-06,7,69000,,개인,개인,통일로 780,중개거래,,정책전
은평구,불광동,북한산현대홈타운,84.9956,2025-06-13,7,88000,,개인,개인,불광로2길 16,중개거래,,정책전
은평구,수색동,DMCSKVIEW,84.9926,2024-08-05,16,137500,102,개인,개인,수색로 216,중개거래,25.01.16,정책전
은평구,수색동,DMC롯데캐슬더퍼스트,84.93,2024-06-17,5,109900,,개인,개인,수색로 300,중개거래,,정책전
은평구,수색동,DMC롯데캐슬더퍼스트,114.95,2025-03-11,2,135500,,개인,개인,수색로 300,중개거래,,정책전
은평구,역촌동,센트레빌아스테리움시그니처,59.9995,2026-03-28,17,90000,,개인,개인,갈현로7길 25,중개거래,,정책후
은평구,응암동,e편한세상백련산,84.72,2024-06-28,3,85000,,개인,개인,백련산로 112,중개거래,,정책전
은평구,응암동,백련산힐스테이트3차,114.65,2025-07-08,9,107000,,개인,개인,백련산로 36,직거래,,정책후
은평구,증산동,DMC문영퀸즈파크아파트,84.97,2025-05-22,3,57000,,개인,개인,증산로13길 44-5,중개거래,,정책전
은평구,증산동,DMC센트럴자이(4단지),55.74,2026-02-28,15,120000,,개인,개인,수색로 200,중개거래,,정책후
은평구,진관동,은평뉴타운기자촌11단지,84.6,2025-05-31,3,73000,,개인,개인,연서로46길 7,중개거래,,정책전
은평구,진관동,은평뉴타운기자촌11단지,84.82,2025-05-31,7,81000,,개인,개인,연서로46길 7,중개거래,,정책전
은평구,진관동,은평스카이뷰자이,84.7488,2025-11-30,10,106000,,개인,개인,통일로 1034,중개거래,,정책후
종로구,평동,경희궁자이(3단지),59.8547,2026-03-07,2,230000,,개인,개인,경교장길 35,중개거래,,정책후
중구,남창동,경서,37.69,2025-01-16,5,28250,,개인,개인,퇴계로2길 15-6,중개거래,,정책전
중구,순화동,바비엥3,65.71,2025-05-08,16,62500,,개인,개인,통일로 86,중개거래,,정책전
